Epoch [1/100]  Loss_D: 0.2089  Loss_G: 11.2430
Epoch [2/100]  Loss_D: 0.7296  Loss_G: 2.2652
Epoch [3/100]  Loss_D: 0.3601  Loss_G: 3.1419
Epoch [4/100]  Loss_D: 0.2854  Loss_G: 2.9379
Epoch [5/100]  Loss_D: 0.3984  Loss_G: 3.9942
Epoch [6/100]  Loss_D: 0.3923  Loss_G: 3.1015
Epoch [7/100]  Loss_D: 0.3428  Loss_G: 2.4300
Epoch [8/100]  Loss_D: 0.2420  Loss_G: 1.9600
Epoch [9/100]  Loss_D: 0.1047  Loss_G: 3.4541
Epoch [10/100]  Loss_D: 0.0961  Loss_G: 3.3748
Epoch [11/100]  Loss_D: 0.2813  Loss_G: 4.5976
Epoch [12/100]  Loss_D: 1.3201  Loss_G: 0.5946
Epoch [13/100]  Loss_D: 0.2364  Loss_G: 3.6505
Epoch [14/100]  Loss_D: 1.8377  Loss_G: 7.8053
Epoch [15/100]  Loss_D: 0.2441  Loss_G: 5.4663
Epoch [16/100]  Loss_D: 0.0564  Loss_G: 2.8300
Epoch [17/100]  Loss_D: 0.2567  Loss_G: 3.2216
Epoch [18/100]  Loss_D: 0.5319  Loss_G: 6.5025
Epoch [19/100]  Loss_D: 0.1071  Loss_G: 5.9435
Epoch [20/100]  Loss_D: 0.4602  Loss_G: 5.2997
Epoch [21/100]  Loss_D: 0.1466  Loss_G: 4.0756
Epoch [22/100]  Loss_D: 0.4254  Loss_G: 1.9675
Epoch [23/100]  Loss_D: 0.0421  Loss_G: 6.3065
Epoch [24/100]  Loss_D: 0.1799  Loss_G: 2.9683
Epoch [25/100]  Loss_D: 0.4136  Loss_G: 1.0588
Epoch [26/100]  Loss_D: 0.1091  Loss_G: 4.2237
Epoch [27/100]  Loss_D: 0.2896  Loss_G: 6.7517
Epoch [28/100]  Loss_D: 0.4101  Loss_G: 8.1293
Epoch [29/100]  Loss_D: 0.3091  Loss_G: 2.7836
Epoch [30/100]  Loss_D: 0.1086  Loss_G: 0.9693
Epoch [31/100]  Loss_D: 0.0493  Loss_G: 4.0490
Epoch [32/100]  Loss_D: 0.1149  Loss_G: 2.2711
Epoch [33/100]  Loss_D: 0.2259  Loss_G: 6.4576
Epoch [34/100]  Loss_D: 0.1625  Loss_G: 4.5032
Epoch [35/100]  Loss_D: 0.0572  Loss_G: 5.0147
Epoch [36/100]  Loss_D: 0.0118  Loss_G: 6.4177
Epoch [37/100]  Loss_D: 0.2433  Loss_G: 4.8322
Epoch [38/100]  Loss_D: 1.6135  Loss_G: 1.0166
Epoch [39/100]  Loss_D: 2.5600  Loss_G: 0.6140
Epoch [40/100]  Loss_D: 0.0679  Loss_G: 4.3199
Epoch [41/100]  Loss_D: 0.1816  Loss_G: 5.1828
Epoch [42/100]  Loss_D: 0.1552  Loss_G: 4.5743
Epoch [43/100]  Loss_D: 0.3105  Loss_G: 5.4529
Epoch [44/100]  Loss_D: 0.2724  Loss_G: 7.9521
Epoch [45/100]  Loss_D: 0.1475  Loss_G: 6.3913
Epoch [46/100]  Loss_D: 0.5921  Loss_G: 2.5664
Epoch [47/100]  Loss_D: 0.0566  Loss_G: 6.3441
Epoch [48/100]  Loss_D: 2.4014  Loss_G: 0.0000
Epoch [49/100]  Loss_D: 0.0350  Loss_G: 6.5636
Epoch [50/100]  Loss_D: 0.9605  Loss_G: 10.2644
Epoch [51/100]  Loss_D: 0.5869  Loss_G: 0.1994
Epoch [52/100]  Loss_D: 0.0692  Loss_G: 4.9216
Epoch [53/100]  Loss_D: 0.3444  Loss_G: 6.9220
Epoch [54/100]  Loss_D: 0.1202  Loss_G: 6.6630
Epoch [55/100]  Loss_D: 0.0036  Loss_G: 6.5353
Epoch [56/100]  Loss_D: 0.2870  Loss_G: 6.3277
Epoch [57/100]  Loss_D: 0.0226  Loss_G: 10.1657
Epoch [58/100]  Loss_D: 0.0238  Loss_G: 7.4291
Epoch [59/100]  Loss_D: 0.2072  Loss_G: 6.7134
Epoch [60/100]  Loss_D: 0.0835  Loss_G: 5.0773
Epoch [61/100]  Loss_D: 0.1364  Loss_G: 3.0279
Epoch [62/100]  Loss_D: 0.0446  Loss_G: 7.5624
Epoch [63/100]  Loss_D: 0.2179  Loss_G: 2.6871
Epoch [64/100]  Loss_D: 0.6697  Loss_G: 4.2489
Epoch [65/100]  Loss_D: 0.0281  Loss_G: 8.2010
Epoch [66/100]  Loss_D: 0.1739  Loss_G: 7.0229
Epoch [67/100]  Loss_D: 0.0291  Loss_G: 6.4036
Epoch [68/100]  Loss_D: 0.0285  Loss_G: 6.3623
Epoch [69/100]  Loss_D: 0.3932  Loss_G: 3.7131
Epoch [70/100]  Loss_D: 0.0628  Loss_G: 7.8810
Epoch [71/100]  Loss_D: 0.0766  Loss_G: 5.8884
Epoch [72/100]  Loss_D: 0.2563  Loss_G: 3.1901
Epoch [73/100]  Loss_D: 0.0228  Loss_G: 5.5957
Epoch [74/100]  Loss_D: 0.3280  Loss_G: 3.2209
Epoch [75/100]  Loss_D: 2.1705  Loss_G: 0.0000
Epoch [76/100]  Loss_D: 0.0356  Loss_G: 10.1047
Epoch [77/100]  Loss_D: 0.0112  Loss_G: 5.2598
Epoch [78/100]  Loss_D: 0.0595  Loss_G: 8.3827
Epoch [79/100]  Loss_D: 0.3792  Loss_G: 3.1947
Epoch [80/100]  Loss_D: 0.0475  Loss_G: 7.7301
Epoch [81/100]  Loss_D: 0.1972  Loss_G: 3.8314
Epoch [82/100]  Loss_D: 0.0232  Loss_G: 5.4711
Epoch [83/100]  Loss_D: 0.0877  Loss_G: 10.3228
Epoch [84/100]  Loss_D: 0.1081  Loss_G: 1.2898
Epoch [85/100]  Loss_D: 0.2403  Loss_G: 2.5714
Epoch [86/100]  Loss_D: 0.0088  Loss_G: 5.4670
Epoch [87/100]  Loss_D: 0.0693  Loss_G: 11.6181
Epoch [88/100]  Loss_D: 0.0296  Loss_G: 7.9345
Epoch [89/100]  Loss_D: 0.0181  Loss_G: 6.8661
Epoch [90/100]  Loss_D: 0.0391  Loss_G: 8.0707
Epoch [91/100]  Loss_D: 0.0318  Loss_G: 5.1486
Epoch [92/100]  Loss_D: 0.0322  Loss_G: 5.9359
Epoch [93/100]  Loss_D: 0.0100  Loss_G: 14.3511
Epoch [94/100]  Loss_D: 0.3468  Loss_G: 2.9589
Epoch [95/100]  Loss_D: 0.0033  Loss_G: 12.5605
Epoch [96/100]  Loss_D: 0.0552  Loss_G: 1.4801
Epoch [97/100]  Loss_D: 0.7539  Loss_G: 3.8856
Epoch [98/100]  Loss_D: 0.0898  Loss_G: 5.4624
Epoch [99/100]  Loss_D: 0.0411  Loss_G: 13.6542
Epoch [100/100]  Loss_D: 0.0127  Loss_G: 6.0748
